,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
33,0,0.9629166666666668,0,0.1,0.75,1,-0.9691175828094448,0.0475,-0.964287078138732,0.04,0.000532523,0.0,0.0
26,10,0.7033333333333334,10,0.05,1.5,1,-0.947153640057396,0.0425,-0.8935954647938382,0.068,0.000522543,0.0,0.0
39,20,1.294871794871795,20,0.35,1.5,1,-0.8886963466023381,0.0425,-0.8833260126627575,0.024,0.000485473,0.0,0.0
35,30,1.1,30,0.35,0.75,1,-0.8777634719443771,0.0425,-0.8983580206908459,0.038,0.000493203,0.0,0.0
30,40,0.8516666666666667,40,0.05,0.75,1,-0.8552612171866285,0.055,-0.8967933501567531,0.042,0.000359102,0.0,0.0
37,50,1.1974358974358976,50,0.3,1.0,1,-0.9307753304771684,0.0475,-0.9020279505130312,0.044,0.000470573,0.0,0.0
37,60,1.1974358974358976,60,0.33,1.0,1,-0.9157027010868288,0.055,-0.897517439097896,0.038,0.000534623,0.0,0.0
33,70,0.9629166666666668,70,0.15,1.5,1,-0.9103051385830684,0.0525,-0.8743535618498685,0.057,0.000578884,0.0,0.0
33,80,0.9629166666666668,80,0.1,1.5,1,-0.95106615352513,0.0425,-0.919601419254488,0.05,0.000338922,0.0,0.0
36,90,1.1487179487179489,90,0.25,1.2,1,-0.8913232258070793,0.05,-0.9147164118224418,0.054,0.000307542,0.0,0.0
