,Rho,Test_worst,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_worst,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.00015000000000000001,-417.7215392839198,-426.4703073387471,-426.47033710850167,-417.72123571865114,-429.8315771482193,-424.08500212505396,[1.],148.8065475737773,0.0,1.0,"(0,)",-417.7215392839198,-427.04278078439864,-417.7212530755714,-427.0428326146807,[1.],146.33075948093082,1.0
1,0.004743416490252569,-417.6580382095362,-426.4060989702796,-426.40610291680446,-417.6580026447193,-429.7672425549798,-424.02120860359037,[1.],148.29872356413165,0.0,1.0,"(0,)",-417.6580382095362,-426.97849913698053,-417.65800482761836,-426.9785061702702,[1.],145.8695967250089,1.0
2,0.15000000000000002,-415.6589288353813,-424.37566468828794,-424.3756651236134,-415.6589257284099,-427.7326642838376,-422.0027597866205,[1.],132.88251202423618,0.0,1.0,"(0,)",-415.6589288353813,-424.9457480825071,-415.65892591438944,-424.9457485322493,[1.],130.6078758314922,1.0
3,0.1575,-415.5557119120492,-424.27082754531904,-424.2708281424526,-415.55570791313176,-427.6276136451356,-421.89854110539267,[1.],132.08971459783973,0.0,1.0,"(0,)",-415.5557119120492,-424.84079127476247,-415.5557081508819,-424.8407919108008,[1.],129.8236062582703,1.0
4,0.30710526315789477,-413.4967869271805,-422.17960656169583,-422.1796069831862,-413.4967850954512,-425.5321230679229,-419.819662088801,[0.988],116.37085606945158,0.0,0.988,"(0,)",-413.4967869271805,-422.74718408434916,-413.49678520097206,-422.7471845407115,[0.99],114.21987582366164,0.99
5,0.4567105263157895,-411.4378622736041,-420.0883854820152,-420.08838571458995,-411.43786218238074,-423.4366325297702,-417.7407822442654,[0.948],101.2613001153899,0.0,0.948,"(0,)",-411.4378622736041,-420.65357682568595,-411.4378621875802,-420.6535770291691,[0.95],99.08909262780428,0.95
6,0.6063157894736841,-409.3789392635376,-417.99716416828187,-417.9971644270804,-409.37893922228926,-421.34114182179974,-415.66190236521334,[0.894],86.85571460814454,0.004,0.894,"(0,)",-409.3789392635376,-418.5599692735743,-409.3789392246238,-418.559969599206,[0.915],84.85898042185,0.915
7,0.755921052631579,-407.32001629352766,-415.9059431637189,-415.9059432585492,-407.32001626157387,-419.24565109421843,-413.5830224879414,[0.804],73.79456393107361,0.012,0.804,"(0,)",-407.32001629352766,-416.46636212594217,-407.3200162633934,-416.4663622000958,[0.855],71.42318681082998,0.855
8,0.9055263157894737,-405.26109373493114,-413.8147215973823,-413.8147219139264,-405.2610930554134,-417.1501603652749,-411.5041426130564,[0.736],62.026909812654836,0.018,0.736,"(0,)",-405.26109373493114,-414.3727543403453,-405.2610930942663,-414.3727546644017,[0.725],59.89890681473953,0.725
9,1.0551315789473685,-403.20217058592823,-411.7235001227474,-411.723500572441,-403.20217007968984,-415.0546692833541,-409.4252624343759,[0.636],51.599257424699566,0.036,0.636,"(0,)",-403.20217058592823,-412.2791466845598,-403.202170109042,-412.27914713657947,[0.6],50.2787223905143,0.6
10,1.2047368421052633,-401.14324754043525,-409.6322788627235,-409.63227931138556,-401.14324708704936,-412.95917889317985,-407.34638252698386,[0.53],42.81582486296768,0.044,0.53,"(0,)",-401.14324754043525,-410.18553920308227,-401.1432471136128,-410.1855396593781,[0.535],42.01459477177796,0.535
11,1.354342105263158,-399.0843245322968,-407.5410577175174,-407.54105809167754,-399.08432400422777,-410.86368815641833,-405.26750250046086,[0.448],35.4506690581819,0.068,0.448,"(0,)",-399.0843245322968,-408.09193191078174,-399.084324035348,-408.09193227515135,[0.435],34.96085056806749,0.435
12,1.503947368421053,-397.0254014686315,-405.44983672397416,-405.44983693692575,-397.02540143080887,-408.76819742538913,-403.18862306623856,[0.364],29.363611759751006,0.102,0.364,"(0,)",-397.0254014686315,-405.9983246878343,-397.02540143304947,-405.998324913779,[0.37],29.019476703086916,0.37
13,1.6535526315789475,-394.9664785035607,-403.3586154094243,-403.35861566244876,-394.9664784739801,-406.6727065711849,-401.1097431641816,[0.326],24.192920459344847,0.14,0.326,"(0,)",-394.9664785035607,-403.9047172265649,-394.96647847574496,-403.90471745065906,[0.33],24.00814112032661,0.33
14,1.803157894736842,-392.9075555172748,-401.26739430136956,-401.2673944381613,-392.9075554780755,-404.5772158734635,-399.02721741529547,[0.264],19.80797315027427,0.172,0.264,"(0,)",-392.9075555172748,-401.81110988817005,-392.9075554803787,-401.8111100288594,[0.265],19.83258419821049,0.265
15,1.9527631578947369,-390.8486325613559,-399.1761732177097,-399.1761732781467,-390.8486325397273,-402.4817251713626,-396.9321001049255,[0.218],16.11290444231403,0.218,0.218,"(0,)",-390.8486325613559,-399.71750261338036,-390.8486325409524,-399.71750267243954,[0.23],16.33644421652633,0.23
16,2.1023684210526317,-388.7897095717641,-397.0849518487018,-397.0849519698459,-388.7897095351193,-400.3862344582287,-394.83698223860625,[0.18],13.10049372268732,0.278,0.18,"(0,)",-388.7897095717641,-397.62389506206716,-388.7897095370734,-397.62389517542556,[0.205],13.370959537013878,0.205
17,2.2519736842105265,-386.73078651701724,-394.9937304665756,-394.9937306503297,-386.73078641644867,-398.2907436042103,-392.7418650678677,[0.152],10.684877957449535,0.312,0.152,"(0,)",-386.73078651701724,-395.53028746070794,-386.73078642191064,-395.5302876529207,[0.165],10.905704589072538,0.165
18,2.4015789473684213,-384.6718635137975,-392.90250918368963,-392.90250940059394,-384.67186336884197,-396.1952527098488,-390.6467480055012,[0.132],8.544898060318316,0.368,0.132,"(0,)",-384.6718635137975,-393.43667998780205,-384.67186337689975,-393.43668021395234,[0.125],8.849497348968908,0.125
19,2.551184210526316,-382.6129407250594,-390.81128828333726,-390.8112883332575,-382.61294070433433,-394.0997623092579,-388.55163059675556,[0.11],6.790032263668536,0.428,0.11,"(0,)",-382.6129407250594,-391.3430728977073,-382.61294070550673,-391.34307295091895,[0.105],7.157787058336918,0.105
20,2.7007894736842104,-380.5540177552966,-388.7200669537925,-388.7200670556671,-380.5540177180921,-392.004271509525,-386.4565131911472,[0.092],5.254737249208779,0.484,0.092,"(0,)",-380.5540177552966,-389.2494653730732,-380.55401772023316,-389.24946547959,[0.095],5.672964430215188,0.095
21,2.850394736842105,-378.49509476739246,-386.6288455605682,-386.62884574664247,-378.49509470460714,-389.9087806970937,-384.3613957959415,[0.072],4.057389781139534,0.53,0.072,"(0,)",-378.49509476739246,-387.1558577835795,-378.49509470822386,-387.1558579767576,[0.045],4.592773436313548,0.045
22,3.0,-376.4361717696554,-384.5376242551579,-384.5376244739008,-376.4361716825702,-387.8132900826314,-382.2662782665461,[0.058],3.1747535190021665,0.562,0.058,"(0,)",-376.4361717696554,-385.0622502848293,-376.4361716874537,-385.0622505069015,[0.04],3.990474413068051,0.04
23,3.0749999999999997,-375.4039940132549,-383.48925475065715,-383.48925497575925,-375.40399392110265,-386.762780193196,-381.2159555487595,[0.054],2.7929356681431825,0.58,0.054,"(0,)",-375.4039940132549,-384.01268453986563,-375.4039939262078,-384.01268476546016,[0.04],3.69099534643717,0.04
24,3.2333333333333334,-373.2249521356529,-381.27603039889505,-381.2760305535884,-373.22495206956125,-384.54503710936126,-378.9986077989606,[0.044],2.0983673221211907,0.626,0.044,"(0,)",-373.2249521356529,-381.79693477717257,-373.22495207319463,-381.79693493542237,[0.03],3.133671579177051,0.03
25,3.3916666666666666,-371.045910266255,-379.0628058908961,-379.0628060625981,-371.0459102153574,-382.32729400853816,-376.78125983648613,[0.032],1.5745441586328135,0.674,0.032,"(0,)",-371.045910266255,-379.58118486614984,-371.0459102182751,-379.581185040125,[0.025],2.660515558545317,0.025
